classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
shower cap,29,"['badger', 'academic gown', 'band aid', 'barbershop', 'gas mask or respirator']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.5000000000000016,0.2599999999999999,0.289,0.26,0.001,0.274,793,793,1175
shower curtain,33,"['apron', 'altar', 'egyptian mau', 'academic gown', 'baluster  handrail']","[0.08, 0.06, 0.04, 0.04, 0.04]",0.8437499999999998,0.1399999999999999,0.093,0.14,0.002,0.116,794,794,1175
ski,22,"['husky', 'treeing walker coonhound', 'arabian camel', 'barbell', 'barbershop']","[0.08, 0.06, 0.06, 0.04, 0.04]",0.3436215967445477,0.34,0.531,0.34,0.001,0.436,795,795,1168
balaclava ski mask,30,"['crash helmet', 'pug', 'gas mask or respirator', 'night snake', 'african rock python']","[0.08, 0.04, 0.04, 0.02, 0.02]",0.9128709291752768,0.2999999999999999,0.75,0.3,0.0,0.525,796,796,1191
sleeping bag,30,"['backpack', 'shower curtain', 'lab coat', 'rooster', 'macaw']","[0.06, 0.06, 0.04, 0.02, 0.02]",-4.848699518061081e-16,0.2999999999999999,0.375,0.3,0.001,0.338,797,797,1168
slide rule,32,"['abacus', 'barometer', 'academic gown', 'analog clock', 'ballpoint pen']","[0.1399999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.3627927530355544,0.0599999999999999,0.143,0.06,0.0,0.102,798,798,1032
sliding door,31,"['barbershop', 'wardrobe', 'treeing walker coonhound', 'egyptian mau', 'ambulance']","[0.18, 0.06, 0.04, 0.04, 0.04]",1.4286267334338287,0.06,0.13,0.06,0.0,0.095,799,799,1176
slot machine,15,"['barbershop', 'bakery', 'altar', 'ambulance', 'analog clock']","[0.16, 0.12, 0.04, 0.04, 0.04]",0.5929270612815718,0.3800000000000001,0.463,0.38,0.001,0.422,800,800,1170
snorkel,26,"['stingray', 'great white shark', 'hammerhead shark', 'loggerhead sea turtle', 'silver salmon']","[0.12, 0.04, 0.04, 0.04, 0.04]",1.5000000000000009,0.2999999999999999,0.469,0.3,0.001,0.384,801,801,1156
snowmobile,19,"['dog sled', 'husky', 'treeing walker coonhound', 'german shepherd dog', 'silver salmon']","[0.16, 0.12, 0.04, 0.04, 0.04]",0.5929270612815718,0.26,0.684,0.26,0.0,0.472,802,802,1186
snowplow,27,"['amphibious vehicle', 'barn', 'ambulance', 'west highland white terrier', 'cocker spaniel']","[0.34, 0.06, 0.04, 0.02, 0.02]",1.4466277348870251,0.08,0.571,0.08,0.0,0.325,803,803,1182
soap dispenser,44,"['balloon', 'barbershop', 'barrel', 'bottle cap', 'african grey parrot']","[0.06, 0.06, 0.04, 0.04, 0.02]",-0.3436215967445465,0.0,0.0,0.0,0.001,0.0,804,804,1173
soccer ball,35,"['baseball', 'balloon', 'basketball', 'football helmet', 'knee pad']","[0.08, 0.04, 0.04, 0.04, 0.04]",1.5000000000000009,0.1399999999999999,0.368,0.14,0.0,0.254,805,805,1168
sock,34,"['apron', 'band aid', 'miniature pinscher', 'accordion', 'backpack']","[0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.4082482904638625,0.0999999999999999,0.417,0.1,0.0,0.258,806,806,1179
solar thermal collector,24,"['aircraft carrier', 'baluster  handrail', 'wheelbarrow', 'analog clock', 'balloon']","[0.06, 0.06, 0.06, 0.04, 0.04]",-0.4082482904638644,0.2799999999999999,0.438,0.28,0.001,0.359,807,807,1175
sombrero,33,"['bakery', 'trilobite', 'chihuahua', 'arabian camel', 'barrel']","[0.06, 0.04, 0.04, 0.04, 0.04]",1.5000000000000022,0.2,0.189,0.2,0.001,0.194,808,808,1184
