classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
indian cobra,22,"['garter snake', 'eel', 'oil filter', 'loggerhead sea turtle', 'eastern hog nosed snake']","[0.2, 0.1, 0.08, 0.04, 0.04]",0.9620295363245662,0.18,0.818,0.18,0.0,0.499,63,81
green mamba,15,"['garter snake', 'vine snake', 'carolina anole', 'oil filter', 'tree frog']","[0.1, 0.08, 0.04, 0.04, 0.02]",0.3477670622469954,0.52,0.406,0.52,0.001,0.463,64,78
sea snake,15,"['kingsnake', 'oil filter', 'coral reef', 'garter snake', 'starfish']","[0.1, 0.1, 0.08, 0.06, 0.06]",-9.697399036122157e-16,0.3600000000000001,0.667,0.36,0.001,0.514,65,41
saharan horned viper,19,"['night snake', 'sidewinder rattlesnake', 'oil filter', 'komodo dragon', 'african rock python']","[0.1399999999999999, 0.1399999999999999, 0.12, 0.04, 0.04]",-0.3365218792190076,0.22,0.297,0.22,0.001,0.258,66,14
eastern diamondback rattlesnake,17,"['night snake', 'garter snake', 'saharan horned viper', 'oil filter', 'eastern hog nosed snake']","[0.12, 0.1, 0.06, 0.06, 0.04]",0.3477670622469937,0.34,0.654,0.34,0.001,0.497,67,28
sidewinder rattlesnake,17,"['saharan horned viper', 'night snake', 'oil filter', 'banded gecko', 'kingsnake']","[0.1999999999999999, 0.1599999999999999, 0.0999999999999999, 0.0399999999999999, 0.0399999999999999]",0.2211914062499997,0.2199999999999999,0.407,0.22,0.001,0.314,68,25
trilobite,10,"['centipede', 'dam', 'loggerhead sea turtle', 'chiton', 'isopod']","[0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.4082482904638635,0.7599999999999999,0.95,0.76,0.001,0.855,69,67
harvestman,11,"['ant', 'wolf spider', 'oil filter', 'window screen', 'cliff']","[0.1399999999999999, 0.04, 0.04, 0.04, 0.04]",1.4999999999999996,0.58,0.806,0.58,0.001,0.693,70,46
scorpion,11,"['centipede', 'ant', 'southern black widow', 'wolf spider', 'tick']","[0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.4082482904638635,0.7399999999999999,0.787,0.74,0.001,0.764,71,182
yellow garden spider,3,"['harvestman', 'ant', 'spider web']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9399999999999998,0.662,0.94,0.001,0.801,72,202
barn spider,14,"['spider web', 'wolf spider', 'european garden spider', 'yellow garden spider', 'tarantula']","[0.22, 0.1, 0.08, 0.06, 0.04]",1.138419957660616,0.22,0.393,0.22,0.001,0.306,73,112
european garden spider,7,"['yellow garden spider', 'spider web', 'barn spider', 'wolf spider', 'longhorn beetle']","[0.3, 0.26, 0.2, 0.02, 0.02]",-0.2011107544279562,0.16,0.615,0.16,0.0,0.388,74,80
southern black widow,13,"['ant', 'rhinoceros beetle', 'barn spider', 'wolf spider', 'tick']","[0.16, 0.04, 0.02, 0.02, 0.02]",1.4286267334338292,0.5800000000000001,0.784,0.58,0.001,0.682,75,78
tarantula,12,"['wolf spider', 'oil filter', 'barn spider', 'bee', 'saharan horned viper']","[0.06, 0.06, 0.04, 0.04, 0.02]",-0.3436215967445465,0.6400000000000001,0.865,0.64,0.001,0.752,76,89
wolf spider,18,"['ant', 'barn spider', 'southern black widow', 'grasshopper', 'dragonfly']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.5000000000000016,0.4799999999999999,0.585,0.48,0.001,0.532,77,122
tick,16,"['ant', 'crayfish', 'yellow garden spider', 'weevil', 'barn spider']","[0.1, 0.06, 0.04, 0.04, 0.02]",0.7500308204401289,0.52,0.578,0.52,0.001,0.549,78,131
centipede,11,"['ant', 'newt', 'tailed frog', 'desert grassland whiptail lizard', 'ring necked snake']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.7599999999999999,0.349,0.76,0.002,0.554,79,270
black grouse,12,"['vulture', 'common gallinule', 'magpie', 'ptarmigan', 'oil filter']","[0.3799999999999999, 0.1199999999999999, 0.0799999999999999, 0.0799999999999999, 0.0599999999999999]",1.404465667282283,0.1199999999999999,0.857,0.12,0.0,0.488,80,30
ptarmigan,13,"['oil filter', 'hook', 'duck', 'hen', 'great grey owl']","[0.18, 0.08, 0.06, 0.04, 0.04]",1.2181208646399406,0.4,0.625,0.4,0.001,0.512,81,61
ruffed grouse,13,"['great grey owl', 'airplane wing', 'hen', 'garter snake', 'ptarmigan']","[0.2, 0.08, 0.06, 0.06, 0.04]",1.321086967875272,0.3600000000000001,0.692,0.36,0.001,0.526,82,61
