classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
leafhopper,17,"['cricket insect', 'lacewing', 'sulphur butterfly', 'praying mantis', 'plastic bag']","[0.2, 0.16, 0.08, 0.04, 0.04]",0.3804646084815738,0.24,0.273,0.24,0.001,0.256,317,317,1300
lacewing,29,"['chiton', 'grasshopper', 'stick insect', 'praying mantis', 'sulphur butterfly']","[0.06, 0.06, 0.04, 0.04, 0.04]",0.4082482904638629,0.26,0.206,0.26,0.001,0.233,318,318,1300
dragonfly,21,"['stick insect', 'damselfly', 'lacewing', 'ringlet butterfly', 'grasshopper']","[0.16, 0.16, 0.08, 0.08, 0.06]",0.3169627324056566,0.06,0.273,0.06,0.0,0.166,319,319,1300
damselfly,12,"['stick insect', 'lacewing', 'dragonfly', 'praying mantis', 'harvestman']","[0.12, 0.06, 0.06, 0.04, 0.02]",0.7683612488578242,0.5599999999999999,0.757,0.56,0.001,0.659,320,320,1300
red admiral butterfly,19,"['gossamer winged butterfly', 'rock beauty fish', 'small white butterfly', 'hen of the woods mushroom', 'newt']","[0.2999999999999999, 0.12, 0.1, 0.08, 0.06]",1.3026417982052971,0.0,0.0,0.0,0.004,0.0,321,321,1300
ringlet butterfly,11,"['gossamer winged butterfly', 'small white butterfly', 'sulphur butterfly', 'vase', 'corn']","[0.16, 0.08, 0.08, 0.04, 0.04]",0.9128709291752768,0.48,0.462,0.48,0.001,0.471,322,322,1300
monarch butterfly,8,"['gossamer winged butterfly', 'plant pot', 'ruffed grouse', 'cardboard box  carton', 'goblet']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.7799999999999999,0.83,0.78,0.001,0.805,323,323,1300
small white butterfly,12,"['sulphur butterfly', 'gossamer winged butterfly', 'plant pot', 'ringlet butterfly', 'vase']","[0.12, 0.1, 0.06, 0.04, 0.04]",0.3804646084815737,0.48,0.293,0.48,0.002,0.386,324,324,1300
sulphur butterfly,14,"['small white butterfly', 'gossamer winged butterfly', 'rock beauty fish', 'spaghetti squash', 'lorikeet']","[0.1, 0.04, 0.04, 0.04, 0.02]",1.1731251294063554,0.58,0.372,0.58,0.002,0.476,325,325,1300
gossamer winged butterfly,12,"['small white butterfly', 'chiton', 'sulphur butterfly', 'ringlet butterfly', 'rock beauty fish']","[0.1, 0.08, 0.08, 0.06, 0.04]",-0.2715454178836394,0.4600000000000001,0.377,0.46,0.001,0.418,326,326,1300
starfish,29,"['sea cucumber', 'jellyfish', 'mitten', 'sea snake', 'rock beauty fish']","[0.1, 0.06, 0.06, 0.04, 0.04]",0.9128709291752772,0.18,0.643,0.18,0.0,0.412,327,327,1300
sea urchin,19,"['sea cucumber', 'cardoon', 'coral fungus', 'sea anemone', 'matchstick']","[0.12, 0.08, 0.08, 0.06, 0.06]",0.9128709291752758,0.24,0.429,0.24,0.001,0.334,328,328,1300
